threshold,TP,FP,TN,FN,signals,fp_ratio_of_signals,precision,recall
0.485,24,45,1915,16,69,0.6521739130434783,0.34782608695652173,0.6
0.49,24,44,1916,16,68,0.6470588235294118,0.35294117647058826,0.6
0.495,24,43,1917,16,67,0.6417910447761194,0.3582089552238806,0.6
0.5,23,42,1918,17,65,0.6461538461538462,0.35384615384615387,0.575
0.505,22,41,1919,18,63,0.6507936507936508,0.3492063492063492,0.55
0.51,22,41,1919,18,63,0.6507936507936508,0.3492063492063492,0.55
0.515,22,38,1922,18,60,0.6333333333333333,0.36666666666666664,0.55
0.52,22,37,1923,18,59,0.6271186440677966,0.3728813559322034,0.55
0.525,22,37,1923,18,59,0.6271186440677966,0.3728813559322034,0.55
0.53,21,37,1923,19,58,0.6379310344827587,0.3620689655172414,0.525
0.535,21,37,1923,19,58,0.6379310344827587,0.3620689655172414,0.525
0.54,21,36,1924,19,57,0.631578947368421,0.3684210526315789,0.525
0.545,21,32,1928,19,53,0.6037735849056604,0.39622641509433965,0.525
0.55,21,31,1929,19,52,0.5961538461538461,0.40384615384615385,0.525
0.555,21,31,1929,19,52,0.5961538461538461,0.40384615384615385,0.525
0.56,19,29,1931,21,48,0.6041666666666666,0.3958333333333333,0.475
0.5650000000000001,18,29,1931,22,47,0.6170212765957447,0.3829787234042553,0.45
0.5700000000000001,18,28,1932,22,46,0.6086956521739131,0.391304347826087,0.45
0.5750000000000001,17,28,1932,23,45,0.6222222222222222,0.37777777777777777,0.425
0.58,17,27,1933,23,44,0.6136363636363636,0.38636363636363635,0.425
0.585,16,27,1933,24,43,0.627906976744186,0.37209302325581395,0.4
0.59,16,26,1934,24,42,0.6190476190476191,0.38095238095238093,0.4
0.595,16,24,1936,24,40,0.6,0.4,0.4
0.6,16,22,1938,24,38,0.5789473684210527,0.42105263157894735,0.4
0.605,16,21,1939,24,37,0.5675675675675675,0.43243243243243246,0.4
0.61,15,18,1942,25,33,0.5454545454545454,0.45454545454545453,0.375
0.615,15,17,1943,25,32,0.53125,0.46875,0.375
0.62,15,15,1945,25,30,0.5,0.5,0.375
0.625,15,14,1946,25,29,0.4827586206896552,0.5172413793103449,0.375
0.63,15,13,1947,25,28,0.4642857142857143,0.5357142857142857,0.375
0.635,15,13,1947,25,28,0.4642857142857143,0.5357142857142857,0.375
0.64,15,12,1948,25,27,0.4444444444444444,0.5555555555555556,0.375
0.645,14,12,1948,26,26,0.46153846153846156,0.5384615384615384,0.35
0.65,14,11,1949,26,25,0.44,0.56,0.35
0.655,13,11,1949,27,24,0.4583333333333333,0.5416666666666666,0.325
0.66,13,11,1949,27,24,0.4583333333333333,0.5416666666666666,0.325
0.665,13,11,1949,27,24,0.4583333333333333,0.5416666666666666,0.325
0.67,13,10,1950,27,23,0.43478260869565216,0.5652173913043478,0.325
0.675,13,9,1951,27,22,0.4090909090909091,0.5909090909090909,0.325
0.68,12,8,1952,28,20,0.4,0.6,0.3
0.685,12,8,1952,28,20,0.4,0.6,0.3
0.6900000000000001,11,8,1952,29,19,0.42105263157894735,0.5789473684210527,0.275
0.6950000000000001,11,8,1952,29,19,0.42105263157894735,0.5789473684210527,0.275
0.7000000000000001,11,8,1952,29,19,0.42105263157894735,0.5789473684210527,0.275
