threshold,TP,FP,TN,FN,signals,fp_ratio_of_signals,precision,recall
0.8300000000000001,20,11,1949,20,31,0.3548387096774194,0.6451612903225806,0.5
0.835,20,11,1949,20,31,0.3548387096774194,0.6451612903225806,0.5
0.84,20,11,1949,20,31,0.3548387096774194,0.6451612903225806,0.5
0.845,20,10,1950,20,30,0.3333333333333333,0.6666666666666666,0.5
0.85,20,9,1951,20,29,0.3103448275862069,0.6896551724137931,0.5
0.855,20,9,1951,20,29,0.3103448275862069,0.6896551724137931,0.5
0.86,20,8,1952,20,28,0.2857142857142857,0.7142857142857143,0.5
0.865,20,8,1952,20,28,0.2857142857142857,0.7142857142857143,0.5
0.87,20,8,1952,20,28,0.2857142857142857,0.7142857142857143,0.5
0.875,20,8,1952,20,28,0.2857142857142857,0.7142857142857143,0.5
0.88,19,8,1952,21,27,0.2962962962962963,0.7037037037037037,0.475
0.885,18,8,1952,22,26,0.3076923076923077,0.6923076923076923,0.45
0.89,18,7,1953,22,25,0.28,0.72,0.45
0.895,18,6,1954,22,24,0.25,0.75,0.45
0.9,17,6,1954,23,23,0.2608695652173913,0.7391304347826086,0.425
0.905,17,6,1954,23,23,0.2608695652173913,0.7391304347826086,0.425
0.91,17,5,1955,23,22,0.22727272727272727,0.7727272727272727,0.425
0.915,17,5,1955,23,22,0.22727272727272727,0.7727272727272727,0.425
0.92,16,5,1955,24,21,0.23809523809523808,0.7619047619047619,0.4
0.925,16,4,1956,24,20,0.2,0.8,0.4
0.93,15,4,1956,25,19,0.21052631578947367,0.7894736842105263,0.375
0.935,15,4,1956,25,19,0.21052631578947367,0.7894736842105263,0.375
0.9400000000000001,15,4,1956,25,19,0.21052631578947367,0.7894736842105263,0.375
0.9450000000000001,14,3,1957,26,17,0.17647058823529413,0.8235294117647058,0.35
0.9500000000000001,14,3,1957,26,17,0.17647058823529413,0.8235294117647058,0.35
0.9550000000000001,14,3,1957,26,17,0.17647058823529413,0.8235294117647058,0.35
0.96,12,3,1957,28,15,0.2,0.8,0.3
0.965,12,2,1958,28,14,0.14285714285714285,0.8571428571428571,0.3
0.97,10,2,1958,30,12,0.16666666666666666,0.8333333333333334,0.25
0.975,10,2,1958,30,12,0.16666666666666666,0.8333333333333334,0.25
0.98,10,2,1958,30,12,0.16666666666666666,0.8333333333333334,0.25
0.985,10,1,1959,30,11,0.09090909090909091,0.9090909090909091,0.25
0.99,7,0,1960,33,7,0.0,1.0,0.175
0.995,7,0,1960,33,7,0.0,1.0,0.175
1.0,0,0,1960,40,0,0.0,0.0,0.0
